src;tgt;total;bib_hits;examples;text_hits;weighted
bosshard-werner;bosshard-werner;1;0;esvorbereitung Ziircher letztwillige Verfiigungen 1428-1445! Werner Bosshard Lange standen bei Untersuchungen zu den spatmittelalterliche;1;1
bosshard-werner;heinrich-speich;2;0;tierli, und reben und nussbém, das mans absluog.»'® Auch der Chronist Heinrich Brennwald bringt drei Nachrichten zum Unter- suchungszeitrau | es Gemacht (ebd., B VI 306, fol. 48 r/v, 30. Januar 1444). So nimmt Heinrich Sanger die ehelichen Kinder des Ciieni Meiger, genannt Sanger,;2;2
bosshard-werner;jucker-michael;2;0;"der Jahre 1429-1438 mit Eintra- gen von der Hand des Stadt- schreibers Michael Stebler; oben in Reinschrift, unten in Entwurfschrift als Ko | der Ziircher Schreiber- und Kanzleigeschichte auf. Dass mit der Wahl Michael Steblers zum Stadtschreiber und seiner Aufnahme ins Biirgerrech";2;2
sutter-pascale;bosshard-werner;6;0;"verwiisten Rapperswiler Truppen Hurden. (Eidgendéssische Chronik des Werner Schodoler von 1514, Bd. 2, fol. 60 v; StadtA Brem- garten; Aussc | ie Ziirich und Osterreich geschlossen. (Eidgendssi- sche Chronik des Werner Schodoler von 1514, Bd. 2, fol. 76 v; StadtA Bremgar- ten; Aussc | ie beiden Parteien am 25. Juli zu einem Schiedsgericht vor seine Rate Werner von Zimmern, Werner von Schienen und Hans Kripp. Dieses fand am";6;6
sutter-pascale;heinrich-speich;3;0;ht beruhigte, besetzte der dsterreichische Landvogt im Thurgau, Graf Heinrich von Lupfen, Rapperswil im Oktober mit Truppen aus dem Thurgau® | .- Meile-Huber ist der Ansicht, dass eventuell die Verurteilung des Heinrich Has, der zwischen 1449 und 1451 Schultheiss war und dem Betriig | der Ansicht, dass eventuell die Verurteilung des Heinrich Has, der zwischen 1449 und 1451 Schultheiss war und dem Betriigereien vorgeworfen;3;3
sutter-pascale;jucker-michael;1;0;ht mit Zitirich zu erneuern. Klosterarchiv Wurmsbach, A 69. 9 Michael Jucker: Gesandte, Schreiber, Akten. Politische Kommunikation auf eidg;1;1
sutter-pascale;niederhauser-peter;5;0;"sie schloss am 2. September 1407 ein Burgrecht mit Ziirich.. Peter Niederhauser: «Durch der herschafft willen lip und guot gewaget». Wintert | rswil. Auch sie schloss am 2. September 1407 ein Burgrecht mit Ziirich.. Peter Niederhauser: «Durch der herschafft willen lip und guot gewag | i- tat); ebenso StALU, Akten A1, F1, Schachtel 63. Vgl. dazu Peter Niederhauser: «Damit si bei dem Haus Osterreich beleiben». Eidgenéssische";5;5
sutter-pascale;sutter-pascale;2;0;? Der Alte Ziirichkrieg und seine Folgen fiir die Rosenstadt Pascale Sutter Dieser Beitrag stellt die wechselvolle Geschichte der Stadt u | erk am See? Der Alte Ziirichkrieg und seine Folgen fiir die Rosenstadt Pascale Sutter Dieser Beitrag stellt die wechselvolle Geschichte d;2;2
